Crsytal with exposed surface: 001 and interactomic distance: 1.12246

7921 atoms
1 atom types
-49.38833012561307 49.38833012561176 xlo xhi
-49.388330125613656 49.38833012561117 ylo yhi
0.0 0.0 zlo zhi

Atoms

0 1000000 1 -49.388330 -49.388330 0.000000 0 0 0
0 1000000 1 -48.265868 -49.388330 0.000000 0 0 0
0 1000000 1 -47.143406 -49.388330 0.000000 0 0 0
0 1000000 1 -46.020944 -49.388330 0.000000 0 0 0
0 1000000 1 -44.898482 -49.388330 0.000000 0 0 0
0 1000000 1 -43.776020 -49.388330 0.000000 0 0 0
0 1000000 1 -42.653558 -49.388330 0.000000 0 0 0
0 1000000 1 -41.531096 -49.388330 0.000000 0 0 0
0 1000000 1 -40.408634 -49.388330 0.000000 0 0 0
0 1000000 1 -39.286172 -49.388330 0.000000 0 0 0
0 1000000 1 -38.163710 -49.388330 0.000000 0 0 0
0 1000000 1 -37.041248 -49.388330 0.000000 0 0 0
0 1000000 1 -35.918786 -49.388330 0.000000 0 0 0
0 1000000 1 -34.796323 -49.388330 0.000000 0 0 0
0 1000000 1 -33.673861 -49.388330 0.000000 0 0 0
0 1000000 1 -32.551399 -49.388330 0.000000 0 0 0
0 1000000 1 -31.428937 -49.388330 0.000000 0 0 0
0 1000000 1 -30.306475 -49.388330 0.000000 0 0 0
0 1000000 1 -29.184013 -49.388330 0.000000 0 0 0
0 1000000 1 -28.061551 -49.388330 0.000000 0 0 0
0 1000000 1 -26.939089 -49.388330 0.000000 0 0 0
0 1000000 1 -25.816627 -49.388330 0.000000 0 0 0
0 1000000 1 -24.694165 -49.388330 0.000000 0 0 0
0 1000000 1 -23.571703 -49.388330 0.000000 0 0 0
0 1000000 1 -22.449241 -49.388330 0.000000 0 0 0
0 1000000 1 -21.326779 -49.388330 0.000000 0 0 0
0 1000000 1 -20.204317 -49.388330 0.000000 0 0 0
0 1000000 1 -19.081855 -49.388330 0.000000 0 0 0
0 1000000 1 -17.959393 -49.388330 0.000000 0 0 0
0 1000000 1 -16.836931 -49.388330 0.000000 0 0 0
0 1000000 1 -15.714469 -49.388330 0.000000 0 0 0
0 1000000 1 -14.592007 -49.388330 0.000000 0 0 0
0 1000000 1 -13.469545 -49.388330 0.000000 0 0 0
0 1000000 1 -12.347083 -49.388330 0.000000 0 0 0
0 1000000 1 -11.224620 -49.388330 0.000000 0 0 0
0 1000000 1 -10.102158 -49.388330 0.000000 0 0 0
0 1000000 1 -8.979696 -49.388330 0.000000 0 0 0
0 1000000 1 -7.857234 -49.388330 0.000000 0 0 0
0 1000000 1 -6.734772 -49.388330 0.000000 0 0 0
0 1000000 1 -5.612310 -49.388330 0.000000 0 0 0
0 1000000 1 -4.489848 -49.388330 0.000000 0 0 0
0 1000000 1 -3.367386 -49.388330 0.000000 0 0 0
0 1000000 1 -2.244924 -49.388330 0.000000 0 0 0
0 1000000 1 -1.122462 -49.388330 0.000000 0 0 0
0 1000000 1 -0.000000 -49.388330 0.000000 0 0 0
0 1000000 1 1.122462 -49.388330 0.000000 0 0 0
0 1000000 1 2.244924 -49.388330 0.000000 0 0 0
0 1000000 1 3.367386 -49.388330 0.000000 0 0 0
0 1000000 1 4.489848 -49.388330 0.000000 0 0 0
0 1000000 1 5.612310 -49.388330 0.000000 0 0 0
0 1000000 1 6.734772 -49.388330 0.000000 0 0 0
0 1000000 1 7.857234 -49.388330 0.000000 0 0 0
0 1000000 1 8.979696 -49.388330 0.000000 0 0 0
0 1000000 1 10.102158 -49.388330 0.000000 0 0 0
0 1000000 1 11.224620 -49.388330 0.000000 0 0 0
0 1000000 1 12.347083 -49.388330 0.000000 0 0 0
0 1000000 1 13.469545 -49.388330 0.000000 0 0 0
0 1000000 1 14.592007 -49.388330 0.000000 0 0 0
