Crsytal with exposed surface: 001 and interactomic distance: 1.12246

1565 atoms
1 atom types
-24.69416506280686 24.694165062805553 xlo xhi
-24.69416506280745 24.694165062804963 ylo yhi
0.0 23.035585990235727 zlo zhi

Atoms

0 1000000 1 -3.367386 -24.694165 23.035586 0 0 0
0 1000000 1 -2.244924 -24.694165 21.812755 0 0 0
0 1000000 1 -1.122462 -24.694165 21.266598 0 0 0
0 1000000 1 -0.000000 -24.694165 21.101512 0 0 0
0 1000000 1 1.122462 -24.694165 21.266598 0 0 0
0 1000000 1 2.244924 -24.694165 21.812755 0 0 0
0 1000000 1 3.367386 -24.694165 23.035586 0 0 0
0 1000000 1 -7.857234 -23.571703 22.236183 0 0 0
0 1000000 1 -6.734772 -23.571703 20.099219 0 0 0
0 1000000 1 -5.612310 -23.571703 18.845588 0 0 0
0 1000000 1 -4.489848 -23.571703 17.984583 0 0 0
0 1000000 1 -3.367386 -23.571703 17.381895 0 0 0
0 1000000 1 -2.244924 -23.571703 16.979082 0 0 0
0 1000000 1 -1.122462 -23.571703 16.746825 0 0 0
0 1000000 1 -0.000000 -23.571703 16.670845 0 0 0
0 1000000 1 1.122462 -23.571703 16.746825 0 0 0
0 1000000 1 2.244924 -23.571703 16.979082 0 0 0
0 1000000 1 3.367386 -23.571703 17.381895 0 0 0
0 1000000 1 4.489848 -23.571703 17.984583 0 0 0
0 1000000 1 5.612310 -23.571703 18.845588 0 0 0
0 1000000 1 6.734772 -23.571703 20.099219 0 0 0
0 1000000 1 7.857234 -23.571703 22.236183 0 0 0
0 1000000 1 -10.102158 -22.449241 20.643628 0 0 0
0 1000000 1 -8.979696 -22.449241 18.644165 0 0 0
0 1000000 1 -7.857234 -22.449241 17.299646 0 0 0
0 1000000 1 -6.734772 -22.449241 16.300895 0 0 0
0 1000000 1 -5.612310 -22.449241 15.537783 0 0 0
0 1000000 1 -4.489848 -22.449241 14.956453 0 0 0
0 1000000 1 -3.367386 -22.449241 14.526591 0 0 0
0 1000000 1 -2.244924 -22.449241 14.230047 0 0 0
0 1000000 1 -1.122462 -22.449241 14.055976 0 0 0
0 1000000 1 -0.000000 -22.449241 13.998565 0 0 0
0 1000000 1 1.122462 -22.449241 14.055976 0 0 0
0 1000000 1 2.244924 -22.449241 14.230047 0 0 0
0 1000000 1 3.367386 -22.449241 14.526591 0 0 0
0 1000000 1 4.489848 -22.449241 14.956453 0 0 0
0 1000000 1 5.612310 -22.449241 15.537783 0 0 0
0 1000000 1 6.734772 -22.449241 16.300895 0 0 0
0 1000000 1 7.857234 -22.449241 17.299646 0 0 0
0 1000000 1 8.979696 -22.449241 18.644165 0 0 0
0 1000000 1 10.102158 -22.449241 20.643628 0 0 0
0 1000000 1 -12.347083 -21.326779 20.790718 0 0 0
0 1000000 1 -11.224620 -21.326779 18.353467 0 0 0
0 1000000 1 -10.102158 -21.326779 16.746825 0 0 0
0 1000000 1 -8.979696 -21.326779 15.537783 0 0 0
0 1000000 1 -7.857234 -21.326779 14.586914 0 0 0
0 1000000 1 -6.734772 -21.326779 13.828100 0 0 0
0 1000000 1 -5.612310 -21.326779 13.224157 0 0 0
0 1000000 1 -4.489848 -21.326779 12.752153 0 0 0
0 1000000 1 -3.367386 -21.326779 12.397254 0 0 0
0 1000000 1 -2.244924 -21.326779 12.149754 0 0 0
